FirstName,LastName,NetID,Email
Christa,Catanese,ccatanese,ccatanese@example.com
Chuxiang,Cerami,ccerami,ccerami@example.com
Conner,Cham,ccham,ccham@example.com
Cyndi,Chaturvedi,cchaturvedi,cchaturvedi@example.com
Damyeong,Chiappone,dchiappone,dchiappone@example.com
Daran,Chokry,dchokry,dchokry@example.com
Dayna,Ciccotto,dciccotto,dciccotto@example.com
Demian,Clavette,dclavette,dclavette@example.com
Devon,Coffman,dcoffman,dcoffman@example.com
Dingxin,Conceicao,dconceicao,dconceicao@example.com
Dong Young,Corace,dcorace,dcorace@example.com
Douyi,Coshic,dcoshic,dcoshic@example.com
Eduardo,Creppy,ecreppy,ecreppy@example.com
Eliza,Cuesto,ecuesto,ecuesto@example.com
Eoghan,Czechowicz,eczechowicz,eczechowicz@example.com
Eugenie,Dalencourt,edalencourt,edalencourt@example.com
Eya,Darmiento,edarmiento,edarmiento@example.com
Farha,De Geus,fde geus,fde geus@example.com
Fenia,Deats,fdeats,fdeats@example.com
Freja,Delacruz,fdelacruz,fdelacruz@example.com
Gartrell,Demiris,gdemiris,gdemiris@example.com
Gerson,Deshkovich,gdeshkovich,gdeshkovich@example.com
Glickman,Di Carlo,gdicarlo,gdicarlo@example.com
Guillermo,Digiovanni,gdigiovanni,gdigiovanni@example.com
Haarika,Distasio,hdistasio,hdistasio@example.com
Hammame,Donatelli,hdonatelli,hdonatelli@example.com
Haojuan,Dounel,hdounel,hdounel@example.com
Harshil,Dubongco,hdubongco,hdubongco@example.com
Helaena,Durand,hdurand,hdurand@example.com
Hiren,Ebrahim,hebrahim,hebrahim@example.com
Hoorann,Einfrank,heinfrank,heinfrank@example.com
Huidong,Elnakib,helnakib,helnakib@example.com
Hyeajin,Ergun,hergun,hergun@example.com
Hyunjung,Evangelista,hevangelista,hevangelista@example.com
In Ho,Fallica,ifallica,ifallica@example.com
Isabelle-Stephanie,Fassler,ifassler,ifassler@example.com
Jacob,Feltman,jfeltman,jfeltman@example.com
Jaeyou,Fey,jfey,jfey@example.com
Janel,Fiorini,jfiorini,jfiorini@example.com
Jasper,Flores,jflores,jflores@example.com
Jeehyun Karen,Fornof,jfornof,jfornof@example.com
Jeremy,Fredericks,jfredericks,jfredericks@example.com
Ji Yoon,Fudge,jfudge,jfudge@example.com
Jianghao,Gagliardi,jgagliardi,jgagliardi@example.com
Jibreel,Gambeski,jgambeski,jgambeski@example.com
Jing Kun,Garner,jgarner,jgarner@example.com
Jinwoo,Gazaille,jgazaille,jgazaille@example.com
John Adriel,Gera,jgera,jgera@example.com
Joon Su,Ghosh Dastidar,jghoshdastidar,jghoshdastidar@example.com
Juan Carlos,Gilner,jgilner,jgilner@example.com
Jun Qiang,Gledhill,jgledhill,jgledhill@example.com
Junxing,Goldsmith,jgoldsmith,jgoldsmith@example.com
Kai Ni,Gooya,kgooya,kgooya@example.com
Kandice,Graham,kgraham,kgraham@example.com
Kasie,Grieco,kgrieco,kgrieco@example.com
Kayria,Gualano,kgualano,kgualano@example.com
Kennelia,Gumpert,kgumpert,kgumpert@example.com
Khadeja,Ha,kha,kha@example.com
Kimberlyn,Halmo,khalmo,khalmo@example.com
Kook In,Hannani,khannani,khannani@example.com
Krystalle,Hartough,khartough,khartough@example.com
Kyle Marcus,Hayden,khayden,khayden@example.com
Lancelot,Helin,lhelin,lhelin@example.com
Leigh Anne,Herrmann,lherrmann,lherrmann@example.com
Libo,Hippner,lhippner,lhippner@example.com
Linnea,Hollwedel,lhollwedel,lhollwedel@example.com
Lori,Horvitz,lhorvitz,lhorvitz@example.com
Luwei,Huck,lhuck,lhuck@example.com
Maedeh,Hussaini,mhussaini,mhussaini@example.com
Maleka,Ikwuazom,mikwuazom,mikwuazom@example.com
Maor,Iocolano,miocolano,miocolano@example.com
Marielle,Jablow,mjablow,mjablow@example.com
Marvin,James,mjames,mjames@example.com
Mattheo,Javadi,mjavadi,mjavadi@example.com
Medha,Jiang,mjiang,mjiang@example.com
Meng,Joshy,mjoshy,mjoshy@example.com
Mia,Kadi,mkadi,mkadi@example.com
Min,Kan,mkan,mkan@example.com
Minmei,Kariveda,mkariveda,mkariveda@example.com
Mohamad,Kaur,mkaur,mkaur@example.com
Moses,Keluskar,mkeluskar,mkeluskar@example.com
Mutayyaba,Khaira,mkhaira,mkhaira@example.com
Nafisa Oanali,Kiernan,nkiernan,nkiernan@example.com
Narmin,Klas,nklas,nklas@example.com
Nayeon,Kobayashi,nkobayashi,nkobayashi@example.com
Nian Ying,Kombrink,nkombrink,nkombrink@example.com
Nikunj,Kornegay,nkornegay,nkornegay@example.com
Noam,Krackow,nkrackow,nkrackow@example.com
Nyana,Krog,nkrog,nkrog@example.com
On Yu,Kumar,okumar,okumar@example.com
Pallabi,Kwan,pkwan,pkwan@example.com
Pavan,Lafergola,plafergola,plafergola@example.com
Philippe,Lampert,plampert,plampert@example.com
Pragati,Larosiliere,plarosiliere,plarosiliere@example.com
Promita,Lavina,plavina,plavina@example.com
Qingqing,Leddy,qleddy,qleddy@example.com
Radley,Lemonda,rlemonda,rlemonda@example.com
Ram,Leveille,rleveille,rleveille@example.com
Ray Shaun,Lidar,rlidar,rlidar@example.com
Renxia,Lipp,rlipp,rlipp@example.com
Ridhwan,Loder,rloder,rloder@example.com
Rolando,Lorenzotti,rlorenzotti,rlorenzotti@example.com
Rowan,Lucatuorto III,rlucatuortoiii,rlucatuortoiii@example.com
Ruolin,Lynch,rlynch,rlynch@example.com
Sadhana,Macioch,smacioch,smacioch@example.com
Sainah,Magrill,smagrill,smagrill@example.com
Sammy,Makadia,smakadia,smakadia@example.com
Sanjay,Mampassi,smampassi,smampassi@example.com
Sayidana,Mann,smann,smann@example.com
Seokhoon,Marcellus,smarcellus,smarcellus@example.com
Seunghyuk,Maroney,smaroney,smaroney@example.com
Shajee,Marziliano,smarziliano,smarziliano@example.com
Shantai,Mateyunas,smateyunas,smateyunas@example.com
Shawntel,Maxner,smaxner,smaxner@example.com
Sherica,McConnell,smcconnell,smcconnell@example.com
Shiqi,McGregor,smcgregor,smcgregor@example.com
Shuhao,Mcisaac,smcisaac,smcisaac@example.com
Sien,Melito,smelito,smelito@example.com
Siu Chi,Merius,smerius,smerius@example.com
Solhee,Michael,smichael,smichael@example.com
Soung Hyun,Milgrom,smilgrom,smilgrom@example.com
Steeven,Mirabrishami,smirabrishami,smirabrishami@example.com
Suh Hyong,Modesto-Valentin,smodestovalentin,smodestovalentin@example.com
Sunwa,Momperousse,smomperousse,smomperousse@example.com
Sylvinson,Montierde,smontierde,smontierde@example.com
Talat,Moronta,tmoronta,tmoronta@example.com
Tasfia,Mu,tmu,tmu@example.com
Teresa,Munday,tmunday,tmunday@example.com
Tianming,Muthukrishnan,tmuthukrishnan,tmuthukrishnan@example.com
Tinna,Naimzadeh,tnaimzadeh,tnaimzadeh@example.com
Trenae,Naslonski,tnaslonski,tnaslonski@example.com
Tyrone,Negron,tnegron,tnegron@example.com
Vamadi,Neyland,vneyland,vneyland@example.com
Vicky,Nimmons,vnimmons,vnimmons@example.com
Vivek,Noriega,vnoriega,vnoriega@example.com
Wei-Yang,Nwatu,wnwatu,wnwatu@example.com
Wenke,Obata,wobata,wobata@example.com
Woo Chul,Ohnemus,wohnemus,wohnemus@example.com
Xiaojing,Olokunwolu,xolokunwolu,xolokunwolu@example.com
Xindi,Ore Monago,xoremonago,xoremonago@example.com
Xuanyu,Ou,xou,xou@example.com
Yali,Paduru,ypaduru,ypaduru@example.com
Yanyu,Palmiere,ypalmiere,ypalmiere@example.com
Ye Seul,Papazian,ypapazian,ypapazian@example.com
Yi-Hsin,Pascariello,ypascariello,ypascariello@example.com
